track_uri,track_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,artist
spotify:track:28JBD8p18xNuOfyV7Cotdn,Massive,336924,0.499,0.671,4,-6.774,0.0561,0.114,0.0169,0.148,0.0557,124.994,Drake
spotify:track:40iJIUlhi6renaREYGeIDS,Fair Trade (with Travis Scott),291175,0.666,0.465,1,-8.545,0.26,0.0503,0.0,0.215,0.292,167.937,Drake
spotify:track:0k1WUmIRnG3xU6fvvDVfRG,Way 2 Sexy (with Future & Young Thug),257605,0.803,0.597,11,-6.035,0.141,0.000619,4.5e-06,0.323,0.331,136.008,Drake
spotify:track:2tUL6dZf1mywCj5WvCPZw6,No Friends In The Industry,204347,0.84,0.744,1,-4.751,0.113,0.0181,0.0,0.629,0.171,83.737,Drake
spotify:track:3aQem4jVGdhtg116TmJnHz,What’s Next,178154,0.781,0.594,0,-6.959,0.0485,0.0136,0.0,0.162,0.0628,129.895,Drake
spotify:track:65OVbaJR5O1RmwOQx0875b,Wants and Needs (feat. Lil Baby),192956,0.578,0.449,1,-6.349,0.286,0.0618,2.17e-06,0.119,0.1,136.006,Drake
spotify:track:7kfTqGMzIHFWeBeOJALzRf,Headlines,235987,0.636,0.566,6,-7.16,0.106,0.365,0.000353,0.0917,0.425,151.894,Drake
spotify:track:6cmV9y1PdQHjHiVtziGaon,Best I Ever Had,257091,0.457,0.855,1,-4.877,0.382,0.204,0.0,0.28,0.59,162.164,Drake
spotify:track:31Q9ZTF9x81BDonlObCbvP,Forever,357707,0.457,0.906,5,-2.278,0.342,0.249,0.0,0.182,0.54,104.02,Drake
spotify:track:5ry2OE6R2zPQFDO85XkgRb,Money In The Grave (Drake ft. Rick Ross),205427,0.831,0.502,10,-4.045,0.046,0.101,0.0,0.122,0.101,100.541,Drake
spotify:track:1nFgXsg2CUbyK0BJX9cmfj,Trophies,188320,0.74,0.694,1,-7.488,0.505,0.153,0.0,0.137,0.249,143.894,Young Money
spotify:track:05aZ9sAU1YXndHv0FMi9iW,Demons (feat. Fivio Foreign & Sosa Geek),204805,0.543,0.766,0,-3.387,0.343,0.423,0.0,0.155,0.729,106.869,Drake
spotify:track:0XGLsSU6wtfnKXiMNvQr61,Versace (Remix),246047,0.845,0.705,6,-4.271,0.243,0.0218,0.0,0.339,0.334,132.05,Migos
