track_uri,track_name,album_name,duration_ms,danceability,energy,key,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,mode,type,id,uri,track_href,analysis_url,time_signature
spotify:track:42m3eP1JJhtzffal9B136J,7am On Bridle Path,Certified Lover Boy,239635,0.724,0.531,5,-4.108,0.298,0.225,0.0,0.11,0.141,89.901,0,audio_features,42m3eP1JJhtzffal9B136J,spotify:track:42m3eP1JJhtzffal9B136J,https://api.spotify.com/v1/tracks/42m3eP1JJhtzffal9B136J,https://api.spotify.com/v1/audio-analysis/42m3eP1JJhtzffal9B136J,4
spotify:track:6ImxYXeLDQPIv4qo7bMhSk,Company,If You're Reading This It's Too Late,252640,0.651,0.55,7,-8.215,0.0496,0.0403,0.0,0.165,0.119,107.567,1,audio_features,6ImxYXeLDQPIv4qo7bMhSk,spotify:track:6ImxYXeLDQPIv4qo7bMhSk,https://api.spotify.com/v1/tracks/6ImxYXeLDQPIv4qo7bMhSk,https://api.spotify.com/v1/audio-analysis/6ImxYXeLDQPIv4qo7bMhSk,4
spotify:track:739vCwA3EpBSkk3uDsI2wB,Lemon (feat. Drake) - Drake Remix,Lemon (feat. Drake) [Drake Remix],226107,0.777,0.657,1,-6.434,0.237,0.000738,3.34e-06,0.0932,0.245,189.992,1,audio_features,739vCwA3EpBSkk3uDsI2wB,spotify:track:739vCwA3EpBSkk3uDsI2wB,https://api.spotify.com/v1/tracks/739vCwA3EpBSkk3uDsI2wB,https://api.spotify.com/v1/audio-analysis/739vCwA3EpBSkk3uDsI2wB,4
spotify:track:2uw8vslyCoFLQsoPcIhen5,Killer (feat. Drake),Nip Hussle the Great: Vol. 1,199147,0.595,0.706,3,-7.47,0.287,0.0427,0.0,0.0845,0.38,75.682,0,audio_features,2uw8vslyCoFLQsoPcIhen5,spotify:track:2uw8vslyCoFLQsoPcIhen5,https://api.spotify.com/v1/tracks/2uw8vslyCoFLQsoPcIhen5,https://api.spotify.com/v1/audio-analysis/2uw8vslyCoFLQsoPcIhen5,4
spotify:track:1rX5L6pyl3rVWb55D8Cprr,Gold Roses (feat. Drake),Port of Miami 2,349600,0.502,0.633,1,-5.8,0.419,0.00991,0.0,0.389,0.552,83.226,1,audio_features,1rX5L6pyl3rVWb55D8Cprr,spotify:track:1rX5L6pyl3rVWb55D8Cprr,https://api.spotify.com/v1/tracks/1rX5L6pyl3rVWb55D8Cprr,https://api.spotify.com/v1/audio-analysis/1rX5L6pyl3rVWb55D8Cprr,4
spotify:track:3aJkV6DUTSCqOwVwaBDG9B,With You,Views,195053,0.878,0.406,1,-9.961,0.248,0.134,0.000234,0.112,0.784,128.014,1,audio_features,3aJkV6DUTSCqOwVwaBDG9B,spotify:track:3aJkV6DUTSCqOwVwaBDG9B,https://api.spotify.com/v1/tracks/3aJkV6DUTSCqOwVwaBDG9B,https://api.spotify.com/v1/audio-analysis/3aJkV6DUTSCqOwVwaBDG9B,4
spotify:track:7e44z4wOjkllaD8eulUeMd,Truffle Butter,The Pinkprint (Deluxe Edition),220467,0.89,0.667,2,-6.862,0.0521,0.0579,2.97e-05,0.108,0.522,105.099,1,audio_features,7e44z4wOjkllaD8eulUeMd,spotify:track:7e44z4wOjkllaD8eulUeMd,https://api.spotify.com/v1/tracks/7e44z4wOjkllaD8eulUeMd,https://api.spotify.com/v1/audio-analysis/7e44z4wOjkllaD8eulUeMd,4
spotify:track:1D9XLqQp2YYiOxrr5KLb8K,Under Ground Kings,Take Care (Deluxe),212613,0.487,0.712,8,-7.323,0.27,5.2e-05,0.0,0.198,0.397,156.209,1,audio_features,1D9XLqQp2YYiOxrr5KLb8K,spotify:track:1D9XLqQp2YYiOxrr5KLb8K,https://api.spotify.com/v1/tracks/1D9XLqQp2YYiOxrr5KLb8K,https://api.spotify.com/v1/audio-analysis/1D9XLqQp2YYiOxrr5KLb8K,4
spotify:track:0JaVdpmiex2EP7bBzyKVTa,November 18th,So Far Gone,188189,0.749,0.476,11,-11.147,0.507,0.579,0.0,0.1,0.534,71.937,0,audio_features,0JaVdpmiex2EP7bBzyKVTa,spotify:track:0JaVdpmiex2EP7bBzyKVTa,https://api.spotify.com/v1/tracks/0JaVdpmiex2EP7bBzyKVTa,https://api.spotify.com/v1/audio-analysis/0JaVdpmiex2EP7bBzyKVTa,4
spotify:track:621hMmYrgWG3caSFtbZg2p,Behind Barz - Bonus,Behind Barz (Bonus),163121,0.854,0.554,8,-4.684,0.172,0.769,1.84e-06,0.0749,0.272,142.072,1,audio_features,621hMmYrgWG3caSFtbZg2p,spotify:track:621hMmYrgWG3caSFtbZg2p,https://api.spotify.com/v1/tracks/621hMmYrgWG3caSFtbZg2p,https://api.spotify.com/v1/audio-analysis/621hMmYrgWG3caSFtbZg2p,4
spotify:track:6MbH1QiphMCPTqVEVC7UYi,Nothings Into Somethings,More Life,153725,0.766,0.234,11,-7.544,0.159,0.332,0.00156,0.358,0.256,96.882,0,audio_features,6MbH1QiphMCPTqVEVC7UYi,spotify:track:6MbH1QiphMCPTqVEVC7UYi,https://api.spotify.com/v1/tracks/6MbH1QiphMCPTqVEVC7UYi,https://api.spotify.com/v1/audio-analysis/6MbH1QiphMCPTqVEVC7UYi,4
spotify:track:3Ueq2zboxwAbsvHrOjdEqz,MIA (feat. Drake),MIA (feat. Drake),210368,0.817,0.539,6,-6.349,0.0621,0.0141,0.000496,0.099,0.158,97.061,0,audio_features,3Ueq2zboxwAbsvHrOjdEqz,spotify:track:3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/tracks/3Ueq2zboxwAbsvHrOjdEqz,https://api.spotify.com/v1/audio-analysis/3Ueq2zboxwAbsvHrOjdEqz,4
spotify:track:05KOgYg8PGeJyyWBPi5ja8,Free Smoke,More Life,218674,0.736,0.491,10,-6.892,0.439,0.0681,0.0,0.571,0.203,141.979,0,audio_features,05KOgYg8PGeJyyWBPi5ja8,spotify:track:05KOgYg8PGeJyyWBPi5ja8,https://api.spotify.com/v1/tracks/05KOgYg8PGeJyyWBPi5ja8,https://api.spotify.com/v1/audio-analysis/05KOgYg8PGeJyyWBPi5ja8,4
spotify:track:6j9iyrrmqWlQZ5SD1hSTaq,No Lie,Based On A T.R.U. Story (Deluxe),237827,0.634,0.665,6,-5.984,0.176,0.0172,0.0,0.365,0.611,131.108,0,audio_features,6j9iyrrmqWlQZ5SD1hSTaq,spotify:track:6j9iyrrmqWlQZ5SD1hSTaq,https://api.spotify.com/v1/tracks/6j9iyrrmqWlQZ5SD1hSTaq,https://api.spotify.com/v1/audio-analysis/6j9iyrrmqWlQZ5SD1hSTaq,4
spotify:track:5mPSyjLatqB00IkPqRlbTE,Pop Style,Views,212947,0.713,0.462,7,-10.027,0.123,0.192,2.16e-06,0.105,0.0594,133.053,1,audio_features,5mPSyjLatqB00IkPqRlbTE,spotify:track:5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/tracks/5mPSyjLatqB00IkPqRlbTE,https://api.spotify.com/v1/audio-analysis/5mPSyjLatqB00IkPqRlbTE,4
spotify:track:1eCFz60zd7mAXgWLapPd9B,Currents,"Honestly, Nevermind",157390,0.883,0.283,0,-12.653,0.113,0.104,0.00167,0.0935,0.416,122.013,1,audio_features,1eCFz60zd7mAXgWLapPd9B,spotify:track:1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/tracks/1eCFz60zd7mAXgWLapPd9B,https://api.spotify.com/v1/audio-analysis/1eCFz60zd7mAXgWLapPd9B,4
spotify:track:63FrXif0Pdu4NAPvTh87mw,Mine (feat. Drake),BEYONCÉ [Platinum Edition],378600,0.557,0.428,5,-11.306,0.136,0.0673,0.0019,0.144,0.0996,103.009,1,audio_features,63FrXif0Pdu4NAPvTh87mw,spotify:track:63FrXif0Pdu4NAPvTh87mw,https://api.spotify.com/v1/tracks/63FrXif0Pdu4NAPvTh87mw,https://api.spotify.com/v1/audio-analysis/63FrXif0Pdu4NAPvTh87mw,4
spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,"Honestly, Nevermind",254407,0.593,0.41,3,-13.097,0.0531,0.886,0.0993,0.115,0.201,122.584,0,audio_features,6Yj7Zhxt73uvwFFvzQXdxO,spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/tracks/6Yj7Zhxt73uvwFFvzQXdxO,https://api.spotify.com/v1/audio-analysis/6Yj7Zhxt73uvwFFvzQXdxO,4
spotify:track:0GR7iJLhj80KD5LkA14ZRn,Digital Dash,What A Time To Be Alive,231231,0.881,0.546,2,-7.566,0.12,0.00296,4.72e-06,0.226,0.276,140.032,1,audio_features,0GR7iJLhj80KD5LkA14ZRn,spotify:track:0GR7iJLhj80KD5LkA14ZRn,https://api.spotify.com/v1/tracks/0GR7iJLhj80KD5LkA14ZRn,https://api.spotify.com/v1/audio-analysis/0GR7iJLhj80KD5LkA14ZRn,4
spotify:track:4PA16FAl8LPmFmOhARawdV,Weston Road Flows,Views,253533,0.623,0.74,1,-6.942,0.307,0.0635,0.0,0.366,0.35,82.877,1,audio_features,4PA16FAl8LPmFmOhARawdV,spotify:track:4PA16FAl8LPmFmOhARawdV,https://api.spotify.com/v1/tracks/4PA16FAl8LPmFmOhARawdV,https://api.spotify.com/v1/audio-analysis/4PA16FAl8LPmFmOhARawdV,4
spotify:track:6Na5uKk5SsqZimk0hAWo8y,Signs,Signs,234373,0.794,0.735,0,-4.204,0.054,0.108,0.00578,0.112,0.223,107.374,1,audio_features,6Na5uKk5SsqZimk0hAWo8y,spotify:track:6Na5uKk5SsqZimk0hAWo8y,https://api.spotify.com/v1/tracks/6Na5uKk5SsqZimk0hAWo8y,https://api.spotify.com/v1/audio-analysis/6Na5uKk5SsqZimk0hAWo8y,4
spotify:track:0YkUwXxnTkeJBvt5upeEtP,From Florida With Love,Dark Lane Demo Tapes,234783,0.787,0.477,6,-7.837,0.199,0.768,0.0,0.104,0.476,80.506,0,audio_features,0YkUwXxnTkeJBvt5upeEtP,spotify:track:0YkUwXxnTkeJBvt5upeEtP,https://api.spotify.com/v1/tracks/0YkUwXxnTkeJBvt5upeEtP,https://api.spotify.com/v1/audio-analysis/0YkUwXxnTkeJBvt5upeEtP,4
